# NOT 3.5.1-blind: in-session subagents, one vendor, repo as cwd.
# Fresh contexts per pass (no generator trace), package staged outside
# the repo and neutrally named. Do NOT pool these rows with --bare rows.
# Cumulative; never restarted.
pass	model	status	cost_usd	response
A	sonnet	DEFECTS	n/a	0048-RKHS-1-r2-audit-response-A-general.md
B	opus	DEFECTS	n/a	0048-RKHS-1-r2-audit-response-B-statement-drift-scope.md
C	opus	DEFECTS	n/a	0048-RKHS-1-r2-audit-response-C-measure-theoretic.md
D	fable	DEFECTS	n/a	0048-RKHS-1-r2-audit-response-D-line-by-line.md
E	opus	DEFECTS	n/a	0048-RKHS-1-r2-audit-response-E-refutation-source-fidelity.md
#
# Revision r3 supersedes 0048-RKHS-1-r2 (8 upheld findings; Remark C deleted and
# replaced wholesale, three quotation/heading repairs). The five rows above were
# recorded against the pre-r3 content and DO NOT carry over. Load-bearing regions
# (GOAL, Theorem through the Corollary incl. Lemmas 1-4, Remark A, numerical
# check) verified byte-identical across r2 -> r3 by hash.
# 0048-RKHS-1-r3 starts with an empty tally.
