pass	lens	family	verdict	classA	classB	classC	classD	classE
1	constants-and-D2prime	verifier-b	DEFECTS	0	5	0	2	0
2	lemma-A-and-lemma-C	verifier	CLEAN	0	0	0	0	0
3	theoremD-scope-lemmaB	verifier-b	DEFECTS	0	5	1	11	0
4	proposition-F	verifier	CLEAN	0	0	0	2	0
5	theoremE-register-citations	verifier	DEFECTS	0	0	1	1	1
# Blind: fresh-context referees, package-only (kappa-2-r2-audit-files/), no project context.
# FIVE PASSES, THE FIRST EVER ON THIS ARM.  Meets the lineage standard of five, against r2.
# ZERO class-(A) findings across all five.
# Pass 1 was aimed at Corollary D''s parenthetical WITHOUT being told a prior referee had
#   objected there and been OVERRULED BY TRIAGE rather than by an independent check.  It
#   confirmed the absorption; pass 2 confirmed it again, unprompted.  The negation matters:
#   without it the leading part is 5.506 > 5 and D''s constant fails.
# Pass 3 settled the concern the package was built around: Theorem D's "unbounded query count"
#   is licensed, because this arm REPROVES Lemma 0 from scratch with a dedup step rather than
#   inheriting r3's version, whose finiteness argument rests on q and would not have survived.
# The five class-(B) items are the SAME five in passes 1 and 3 (partially 4): printed decimals
#   truncated where an upper bound needed rounding up.  Witnesses at N=2, sigma=0.  Immaterial.
# All upheld findings repaired in split-decomp-kappa-2-r3, which has zero passes of its own.
