# NOT 3.5.1-blind: in-session subagents, one vendor, repo as cwd.
# Fresh contexts per pass (no generator trace), package staged outside
# the repo and neutrally named. Do NOT pool these rows with --bare rows.
# Cumulative; never restarted.
pass	model	status	cost_usd	response
A	opus	DEFECTS	n/a	0048-RKHS-1-audit-response-A-general.md
B	sonnet	CLEAN	n/a	0048-RKHS-1-audit-response-B-statement-drift-scope.md
C	opus	DEFECTS	n/a	0048-RKHS-1-audit-response-C-measure-theoretic.md
D	fable	DEFECTS	n/a	0048-RKHS-1-audit-response-D-line-by-line.md
E	sonnet	DEFECTS	n/a	0048-RKHS-1-audit-response-E-refutation-source-fidelity.md
#
# Revision r2 supersedes 0048-RKHS-1 (three upheld findings repaired; all
# confined to commentary except one reworded clause in Lemma 1(b); Lemma 2
# through the Corollary verified byte-identical by hash). The five rows above
# were recorded against the pre-r2 content and DO NOT carry over.
# 0048-RKHS-1-r2 starts with an empty tally.
